"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,2517.3,22761.7,194.6,373.8,31.9,6.4,36.1
2,1,4432.6,23871.1,159.5,534.4,35,9.5,25.3
3,1,4557.4,25317.7,120,176.8,34.8,7.8,36.1
4,1,4994.2,28922.7,195.5,782.8,34.8,9.1,24.7
5,1,5411.6,1810.8,191.8,307,31,8.1,50
6,1,7564.7,810.9,163.7,369.6,4.5,7.2,29.8
7,1,7839.8,1178.3,246.9,526.9,4.5,7.2,43.6
8,1,7228,728.8,495.2,1225,4.5,7.2,70.5
9,1,8214.2,17897.8,158,169.1,34.4,9.5,71.3
10,1,8323.4,25848.4,159,1074.5,37.4,9.2,13.8
11,1,8585.6,7898.8,244,359.2,27.8,8.1,66.9
12,1,9787.7,30386.6,165.7,633.9,33.7,9.3,22.9
13,1,10247.5,12213.6,158.9,281.4,33.6,8.9,42.2
14,1,10602.5,6294.9,162.7,599.1,32.2,7,19.5
15,1,12406.2,12760.6,146.8,199.8,33,7.8,45.3
16,1,12525,15676,142.4,855.8,39.3,9.8,14.6
17,1,12926.5,6224.1,130.5,263.4,35.5,7.8,29.3
18,1,14271.3,18388.7,132.8,127.6,15.2,6.7,50.7
19,1,13949,18083.2,98.3,123,15.2,6.7,32.6
20,1,14073.1,23954.4,63.5,75.7,35.5,8.9,33.2
21,1,14245.7,16711.3,80.7,124.2,32.2,8.3,28.3
22,1,14248.4,28624.2,165.5,475.6,36.1,6.8,23.6
23,1,14856.5,24681.5,161.7,780.3,33.7,7,15.7
24,1,18124.2,19583,198.9,352.6,31,7.6,45
25,1,19665.3,16887.2,159.6,927.6,34.6,9.6,16.1
26,1,21754.9,19655.5,177.5,254,31.1,7.2,47.4
27,1,22945.3,19429.8,141.4,426,33.9,7.4,21.4
28,1,24951.2,25591.8,140.8,185.8,29.8,5.9,36.7
29,1,26973.5,21910.9,155.1,718.1,35.2,7.9,16.8
30,1,28923.5,28106.6,171.2,240.1,28.5,7.7,49.2
31,1,32307.2,25860,112.5,200.5,31.1,6.6,26.2
32,1,34643,33299,224.7,297.2,25.6,6.3,55.8
33,2,2545.3,22777.5,179.7,320,30.2,7.1,39
34,2,4439.5,23917.2,149.8,516.2,32.6,8.8,22.3
35,2,4591.8,25294.1,132.7,180.5,36.1,8.3,43.9
36,2,4989.2,28966.7,133.2,339.4,40.5,8.6,26.1
37,2,5435.4,1689.6,142.6,219,31,7.7,39.4
38,2,5565.2,5758.2,231.1,357.2,26.1,8.2,61.4
39,2,8207.6,17846.2,107.8,113.9,36.9,7.3,42.9
